"ProcessId","ParentProcessId","Name","ExecutablePath","CommandLine","CreationDate"
"7540","3904","pythonw.exe","E:\clearbox-ai-studio-v2-main\.venv\Scripts\pythonw.exe","""E:\clearbox-ai-studio-v2-main\.venv\Scripts\pythonw.exe""  ""e:\clearbox-ai-studio-v2-main\scripts\clearbox_tray.py""","5/15/2026 5:26:15 PM"
"7264","7540","pythonw.exe","C:\Users\mydyi\AppData\Local\Programs\Python\Python311\pythonw.exe","""C:\Users\mydyi\AppData\Local\Programs\Python\Python311\pythonw.exe"" ""e:\clearbox-ai-studio-v2-main\scripts\clearbox_tray.py""","5/15/2026 5:26:15 PM"
"6112","7264","python.exe","E:\clearbox-ai-studio-v2-main\NVIDIA_venv\Scripts\python.exe","E:\clearbox-ai-studio-v2-main\NVIDIA_venv\Scripts\python.exe E:\clearbox-ai-studio-v2-main\bridges\clearbox_bridge_server.py","5/15/2026 5:26:17 PM"
"15120","6112","python.exe","C:\Users\mydyi\AppData\Local\Programs\Python\Python311\python.exe","""C:\Users\mydyi\AppData\Local\Programs\Python\Python311\python.exe"" E:\clearbox-ai-studio-v2-main\bridges\clearbox_bridge_server.py","5/15/2026 5:26:17 PM"
"12164","7264","python.exe","E:\clearbox-ai-studio-v2-main\NVIDIA_venv\Scripts\python.exe","E:\clearbox-ai-studio-v2-main\NVIDIA_venv\Scripts\python.exe E:\clearbox-ai-studio-v2-main\scripts\local_llm_server.py","5/15/2026 5:26:19 PM"
"2348","12164","python.exe","C:\Users\mydyi\AppData\Local\Programs\Python\Python311\python.exe","""C:\Users\mydyi\AppData\Local\Programs\Python\Python311\python.exe"" E:\clearbox-ai-studio-v2-main\scripts\local_llm_server.py","5/15/2026 5:26:19 PM"
"1888","7264","python.exe","E:\clearbox-ai-studio-v2-main\NVIDIA_venv\Scripts\python.exe","E:\clearbox-ai-studio-v2-main\NVIDIA_venv\Scripts\python.exe E:\clearbox-ai-studio-v2-main\scripts\citation_server.py","5/15/2026 5:26:22 PM"
"4320","1888","python.exe","C:\Users\mydyi\AppData\Local\Programs\Python\Python311\python.exe","""C:\Users\mydyi\AppData\Local\Programs\Python\Python311\python.exe"" E:\clearbox-ai-studio-v2-main\scripts\citation_server.py","5/15/2026 5:26:22 PM"
"7464","7264","python.exe","E:\clearbox-ai-studio-v2-main\NVIDIA_venv\Scripts\python.exe","E:\clearbox-ai-studio-v2-main\NVIDIA_venv\Scripts\python.exe E:\clearbox-ai-studio-v2-main\ui\launch_ui_internal.py","5/15/2026 5:26:24 PM"
"14428","7464","python.exe","C:\Users\mydyi\AppData\Local\Programs\Python\Python311\python.exe","""C:\Users\mydyi\AppData\Local\Programs\Python\Python311\python.exe"" E:\clearbox-ai-studio-v2-main\ui\launch_ui_internal.py","5/15/2026 5:26:24 PM"
