Bucket,Family,Count
high_confidence_log_reasoners,arc_solver,317
high_confidence_log_reasoners,clearbox,408
high_confidence_log_reasoners,compucog,367
high_confidence_log_reasoners,cortexos,122
high_confidence_log_reasoners,forest_ai,47
high_confidence_log_reasoners,misc,299
high_confidence_log_reasoners,netlog,2
high_confidence_log_reasoners,reaper,20
high_confidence_log_reasoners,sovereign_data_engine,25
high_confidence_log_reasoners,wolf_engine,97
log_event_reasoners,arc_solver,23
log_event_reasoners,clearbox,212
log_event_reasoners,compucog,11
log_event_reasoners,cortexos,24
log_event_reasoners,forest_ai,5
log_event_reasoners,misc,39
log_event_reasoners,wolf_engine,30
machine_collectors_loggers,arc_solver,73
machine_collectors_loggers,clearbox,180
machine_collectors_loggers,compucog,274
machine_collectors_loggers,cortexos,94
machine_collectors_loggers,forest_ai,40
machine_collectors_loggers,misc,229
machine_collectors_loggers,sovereign_data_engine,9
machine_collectors_loggers,wolf_engine,84
