"priority","status","source","destination","bytes"
"01_renderer_cloud_reasoning","missing","E:\clearbox-ai-studio-v2-main\core\reasoning_616\engine.py",,
"01_renderer_cloud_reasoning","missing","E:\clearbox-ai-studio-v2-main\bridges\services\reasoning_service.py",,
"01_renderer_cloud_reasoning","missing","E:\clearbox-ai-studio-v2-main\bridges\services\reasoning_chat.py",,
"02_arc_solver_core","missing","H:\arc_production_solver\arc_core.py",,
"02_arc_solver_core","missing","H:\arc_production_solver\arc_organ\arc_rule_hypothesis.py",,
"02_arc_solver_core","missing","H:\arc_production_solver\arc_organ\arc_rule_engine.py",,
"02_arc_solver_core","missing","H:\arc_production_solver\arc_organ\arc_rule_applicator.py",,
"02_arc_solver_core","missing","H:\arc_production_solver\arc_organ\composition_engine.py",,
"02_arc_solver_core","missing","H:\arc_production_solver\arc_organ\prior_selector.py",,
"02_arc_solver_core","missing","H:\arc_production_solver\arc_organ\arc_resonance_state_v2.py",,
"02_arc_solver_core","missing","H:\arc_production_solver\arc_organ\pattern_engine.py",,
"02_arc_solver_core","missing","H:\arc_production_solver\arc_organ\arc_recognition_field.py",,
"03_cortexos_topk_trust_reinforcement","missing","F:\From removable drive\cortexos_organized\core_modules\topk_sparse_resonance.py",,
"03_cortexos_topk_trust_reinforcement","missing","F:\From removable drive\cortexos_organized\core_modules\context_engine.py",,
"03_cortexos_topk_trust_reinforcement","missing","F:\From removable drive\cortexos_organized\core_modules\trust_filter.py",,
"03_cortexos_topk_trust_reinforcement","missing","F:\From removable drive\cortexos_organized\core_modules\knowledge_reinforcer.py",,
"03_cortexos_topk_trust_reinforcement","missing","F:\From removable drive\cortexos_organized\core_modules\resonance_field.py",,
"03_cortexos_topk_trust_reinforcement","missing","F:\From removable drive\cortexos_organized\core_modules\resonance_reinforcer.py",,
"04_compucog_binary_recognition","missing","H:\CompuCog\core\frame_to_grid.py",,
"04_compucog_binary_recognition","missing","H:\CompuCog\memory\forge_memory\core\binary_log.py",,
"04_compucog_binary_recognition","missing","H:\CompuCog\memory\forge_memory\query\query_layer.py",,
"04_compucog_binary_recognition","missing","H:\CompuCog\memory\forge_memory\recognition\recognition_field.py",,
"04_compucog_binary_recognition","missing","H:\CompuCog\memory\forge_memory\wal\pulse_writer.py",,
"05_reaper_multi_anchor_scoring","copied","G:\New folder\reaper_cognitive_engine.py","G:\AnchorWorks_reasoning_toolbox_pull_list\05_reaper_multi_anchor_scoring\reaper_cognitive_engine.py","30044"
