"Source","Listed","Imported","Status"
"C:\Users\mydyi\CrossDevice\Lee's S25+\storage\Download\Advanced Swarm Intelligence Algorithm.txt","True","False","phone mount listed file but copy/read timed out"
"C:\Users\mydyi\CrossDevice\Lee's S25+\storage\Download\Cascadian_EMP_Resonance_Addendum.pdf","True","False","phone mount listed file but copy/read timed out"
"C:\Users\mydyi\CrossDevice\Lee's S25+\storage\Download\CortexOS_TemporalCognition_v2.0.zip","True","False","phone mount listed file but copy/read timed out"
"C:\Users\mydyi\CrossDevice\Lee's S25+\storage\Download\reaper_launcher.py","True","False","phone mount listed file but copy/read timed out"
"C:\Users\mydyi\CrossDevice\Lee's S25+\storage\Download\resonance_field.py","True","False","phone mount listed file but copy/read timed out"
"C:\Users\mydyi\CrossDevice\Lee's S25+\storage\Download\resonance_monitor.py","True","False","phone mount listed file but copy/read timed out"
"C:\Users\mydyi\CrossDevice\Lee's S25+\storage\Download\swarm_resonance_1_redacted.py","True","False","phone mount listed file but copy/read timed out"
"C:\Users\mydyi\CrossDevice\Lee's S25+\storage\Download\swarm_resonance_1.py","True","False","phone mount listed file but copy/read timed out"
"C:\Users\mydyi\CrossDevice\Lee's S25+\storage\Download\swarm_resonance.py","True","False","phone mount listed file but copy/read timed out"
"C:\Users\mydyi\CrossDevice\Lee's S25+\storage\Download\test_topk_resonance.py","True","False","phone mount listed file but copy/read timed out"
