Path,Reason,CandidateSources
C:\ProgramData\NVIDIA Corporation\GameSessionTelemetry\telemetryPlugin.log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\9c59aae0-f756-4dab-baca-08eb2be9c3b7\ed3306aa-5e58-4734-ba0e-2e762bbbd047\skills\docx\scripts\office\helpers\__init__.py,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\9c59aae0-f756-4dab-baca-08eb2be9c3b7\ed3306aa-5e58-4734-ba0e-2e762bbbd047\skills\pptx\scripts\__init__.py,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\9c59aae0-f756-4dab-baca-08eb2be9c3b7\ed3306aa-5e58-4734-ba0e-2e762bbbd047\skills\pptx\scripts\office\helpers\__init__.py,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\9c59aae0-f756-4dab-baca-08eb2be9c3b7\ed3306aa-5e58-4734-ba0e-2e762bbbd047\skills\skill-creator\scripts\__init__.py,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\9c59aae0-f756-4dab-baca-08eb2be9c3b7\ed3306aa-5e58-4734-ba0e-2e762bbbd047\skills\xlsx\scripts\office\helpers\__init__.py,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260502T125920\window1\output_20260502T125924\agentSessionsOutput.log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260502T132014\window1\output_20260502T132017\agentSessionsOutput.log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260502T132043\window1\output_20260502T132045\agentSessionsOutput.log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260502T133547\window1\output_20260502T133551\agentSessionsOutput.log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260502T133623\window1\exthost\output_logging_20260502T133625\2-Jupyter Server Console.log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260502T133623\window1\exthost\output_logging_20260502T133625\5-GitHub Copilot Log (Code References).log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260502T133623\window1\output_20260502T133625\agentSessionsOutput.log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260515T171933\window1\exthost\output_logging_20260515T171936\1-GitHub Copilot Log (Code References).log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260515T171933\window1\exthost\output_logging_20260515T172250\1-GitHub Copilot Log (Code References).log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260515T171933\window1\output_20260515T171936\agentSessionsOutput.log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260515T171933\window1\output_20260515T172249\agentSessionsOutput.log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260516T102128\window1\exthost\output_logging_20260516T102130\1-GitHub Copilot Log (Code References).log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\logs\20260516T102128\window1\output_20260516T102129\agentSessionsOutput.log,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\copilot.cli.oldGlobalSessions.json,zero_size_or_empty,filename_or_path
C:\Users\mydyi\AppData\Roaming\Code\User\History\-35ee922b\ka6X.py,zero_size_or_empty,filename_or_path
C:\Users\mydyi\Downloads\05b6e602532b3d075340cbcc28a8c83e4d269fb9a6179f9cc2c87c077f3584ee-2026-04-07-12-48-39-ad0041cbbad646f5a0a32474b8d459eb\file_00000000553071f88411e2e39cabeca7-ðŸ§¬_SYMBOL_GENOME_PROTOCOL.md,missing_at_verify,content
C:\Users\mydyi\Downloads\Thoughts and Concerns on Forest AI Documents\ðŸŒ² Forest AI.md,missing_at_verify,content
C:\Users\mydyi\Downloads\ðŸ¤ DLLM Contribution Guide.md,missing_at_verify,content
C:\Users\mydyi\Downloads\ðŸ§  DLLM Developer Portal.md,missing_at_verify,content
C:\Users\mydyi\OneDrive\Documents\Desktop\clearbox-plugins\wolf_engine\modules\loggers\__init__.py,zero_size_or_empty,filename_or_path
D:\Clearbox AI Data Root\config\logging.json,zero_size_or_empty,filename_or_path
E:\Clearbox-AI-Plugin-Runner-main\Clearbox-AI-Plugin-Runner-main\plugins\wolf_engine\modules\loggers\__init__.py,zero_size_or_empty,filename_or_path
G:\BACKUPS ONLY\clearbox-ai-studio-v2-main backup 1\docs\_quarantine\Wolf Engine â†’ Clearbox AI Plugin Restructu.md,missing_at_verify,content
G:\BACKUPS ONLY\clearbox-ai-studio-v2-main backup 1\plugins\wolf_engine\modules\loggers\__init__.py,zero_size_or_empty,filename_or_path
G:\BACKUPS ONLY\clearbox-ai-studio-v2-main\docs\_quarantine\Wolf Engine â†’ Clearbox AI Plugin Restructu.md,missing_at_verify,content
