"Priority","Category","Score","Family","OriginalPath","CopiedPath","Evidence"
"1","Active Python entrypoint","","clearbox","E:\clearbox-ai-studio-v2-main\bridges\clearbox_bridge_server.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\active_python_entrypoints\2352a53a4a03__clearbox_bridge_server.py","Running process 15120"
"1","Active Python entrypoint","","clearbox","E:\clearbox-ai-studio-v2-main\scripts\citation_server.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\active_python_entrypoints\0fc2de01b31a__citation_server.py","Running process 4320"
"1","Active Python entrypoint","","clearbox","e:\clearbox-ai-studio-v2-main\scripts\clearbox_tray.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\active_python_entrypoints\aa932bf3e2ab__clearbox_tray.py","Running process 7540"
"1","Active Python entrypoint","","clearbox","E:\clearbox-ai-studio-v2-main\scripts\local_llm_server.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\active_python_entrypoints\d0e9cdd52dd9__local_llm_server.py","Running process 2348"
"1","Active Python entrypoint","","clearbox","E:\clearbox-ai-studio-v2-main\ui\launch_ui_internal.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\active_python_entrypoints\5087e392061d__launch_ui_internal.py","Running process 14428"
"2","Current Clearbox log/reason path","85","clearbox","E:\clearbox-ai-studio-v2-main\bridges\tool_defs.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\125e866b1501__tool_defs.py","audit;capture;event;log;logger;logging;metric;metrics;observe;perf;sensor;session;telemetry | cpu;gpu;input;process;psutil;subprocess;system;win32 | diagnostic;model;pattern;reason;reasoning;score;summarize"
"2","Current Clearbox log/reason path","82","clearbox","E:\clearbox-ai-studio-v2-main\scripts\clearbox_install.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\78ba79950339__clearbox_install.py","audit;capture;event;log;metric;observe;session;stream | cpu;gpu;input;keyboard;memory;process;psutil;socket;subprocess;system;win32;wmi | diagnostic;infer;inference;model;pattern;reason;reasoning"
"2","Current Clearbox log/reason path","80","clearbox","E:\clearbox-ai-studio-v2-main\scripts\local_llm_server.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\d0e9cdd52dd9__local_llm_server.py","audit;daily_logger;event;history;log;logger;logging;perf;session;stream;trace | cpu;gpu;process;socket;system;trigger;win32 | infer;inference;model;reason;reasoning;score;summarize;summarizer"
"2","Current Clearbox log/reason path","71","clearbox","E:\clearbox-ai-studio-v2-main\bridges\helpers.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\b3b49c76085e__helpers.py","activity;daily_logger;event;history;log;logger;logging;reasoning_log;session;telemetry;trace | input;memory;socket;system | decision;model;pattern;reason;reasoning;score;summarize;summarizer"
"2","Current Clearbox log/reason path","61","clearbox","E:\clearbox-ai-studio-v2-main\bridges\clearbox_bridge_server.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\2352a53a4a03__clearbox_bridge_server.py","event;log;logger;logging;metric;metrics;observe;perf;pulse;trace | memory;socket;system | infer;inference;model;reason;reasoning"
