"status","family","original","extracted_source","destination","bytes"
"copied_extracted","clearbox","E:\clearbox-ai-studio-v2-main\core\reasoning_616\engine.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\clearbox\6a8eeff1be1a__6a8eeff1be1a__engine.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\clearbox\6a8eeff1be1a__6a8eeff1be1a__engine.functions.py","30009"
"copied_extracted","clearbox","E:\clearbox-ai-studio-v2-main\bridges\services\reasoning_service.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\clearbox\f8e2cd242ef4__f8e2cd242ef4__reasoning_service.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\clearbox\f8e2cd242ef4__f8e2cd242ef4__reasoning_service.functions.py","20995"
"copied_extracted","clearbox","E:\clearbox-ai-studio-v2-main\bridges\services\reasoning_chat.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\clearbox\a54b12c03efc__a54b12c03efc__reasoning_chat.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\clearbox\a54b12c03efc__a54b12c03efc__reasoning_chat.functions.py","7844"
"copied_extracted","arc_solver","H:\arc_production_solver\arc_core.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\arc_solver\8de1ac8e8cf0__8de1ac8e8cf0__arc_core.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\arc_solver\8de1ac8e8cf0__8de1ac8e8cf0__arc_core.functions.py","26086"
"copied_extracted","arc_solver","H:\arc_production_solver\arc_organ\arc_rule_hypothesis.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\arc_solver\2e827ac2f106__2e827ac2f106__arc_rule_hypothesis.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\arc_solver\2e827ac2f106__2e827ac2f106__arc_rule_hypothesis.functions.py","19346"
"copied_extracted","arc_solver","H:\arc_production_solver\arc_organ\arc_rule_engine.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\arc_solver\a8b18fef8c7f__a8b18fef8c7f__arc_rule_engine.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\arc_solver\a8b18fef8c7f__a8b18fef8c7f__arc_rule_engine.functions.py","4945"
"copied_extracted","arc_solver","H:\arc_production_solver\arc_organ\arc_rule_applicator.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\arc_solver\b21a2b37bc5d__b21a2b37bc5d__arc_rule_applicator.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\arc_solver\b21a2b37bc5d__b21a2b37bc5d__arc_rule_applicator.functions.py","12433"
"copied_extracted","arc_solver","H:\arc_production_solver\arc_organ\composition_engine.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\arc_solver\f922242d1192__f922242d1192__composition_engine.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\arc_solver\f922242d1192__f922242d1192__composition_engine.functions.py","10692"
"copied_extracted","arc_solver","H:\arc_production_solver\arc_organ\prior_selector.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\arc_solver\1ba65a25538b__1ba65a25538b__prior_selector.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\arc_solver\1ba65a25538b__1ba65a25538b__prior_selector.functions.py","7746"
"copied_extracted","arc_solver","H:\arc_production_solver\arc_organ\arc_resonance_state_v2.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\arc_solver\9c906318ce5d__9c906318ce5d__arc_resonance_state_v2.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\arc_solver\9c906318ce5d__9c906318ce5d__arc_resonance_state_v2.functions.py","17353"
