Path,Drive,FileName,Extension,Kind,Family,Categories,CandidateSources,FilenameTerms,ContentTerms,TemporalTerms,LogTerms,ReaderTerms,CausalityTerms,SizeBytes,CreatedUtc,LastWriteUtc,SHA256,HashBytesRead,ExistsVerified,NotTruncatedVerified,RemovalReason
C:\ProgramData\Microsoft\UEV\InboxTemplates\MicrosoftLync2010.xml,C:,MicrosoftLync2010.xml,.xml,source_or_document,misc,target_related_content,content,,content_match_target_pattern,,,,,3968,2024-04-01T07:22:49.981947+00:00,2024-04-01T07:22:49.981947+00:00,620e27a3746773947ba7ceee99d2b55e4e3cfa32a9164a0185a8cb8b22a55b67,3968,true,true,ProgramData installed/system/vendor artifacts
C:\ProgramData\Microsoft\UEV\InboxTemplates\MicrosoftLync2013Win32.xml,C:,MicrosoftLync2013Win32.xml,.xml,source_or_document,misc,target_related_content,content,,content_match_target_pattern,,,,,2865,2024-04-01T07:22:49.481867+00:00,2024-04-01T07:22:49.481867+00:00,4452719f5b16e474e6ae407fb56f7e68f0308920938d749a4d46cded948c116d,2865,true,true,ProgramData installed/system/vendor artifacts
C:\ProgramData\Microsoft\UEV\InboxTemplates\MicrosoftLync2013Win64.xml,C:,MicrosoftLync2013Win64.xml,.xml,source_or_document,misc,target_related_content,content,,content_match_target_pattern,,,,,2865,2024-04-01T07:22:49.872491+00:00,2024-04-01T07:22:49.888107+00:00,11031974100f363daebe2d5c9e4bf67418d662c73e0341eb71e10b91a33280ac,2865,true,true,ProgramData installed/system/vendor artifacts
C:\ProgramData\Microsoft\UEV\InboxTemplates\MicrosoftOffice2010Win32.xml,C:,MicrosoftOffice2010Win32.xml,.xml,source_or_document,misc,target_related_content,content,,content_match_target_pattern,,,,,72785,2024-04-01T07:22:45.622466+00:00,2024-04-01T08:03:49.756274+00:00,843f89d7b8b11907ee5dea2e0108dbb10ce3883d3b7505c55f4e1082db879d3f,72785,true,true,ProgramData installed/system/vendor artifacts
C:\ProgramData\Microsoft\UEV\InboxTemplates\MicrosoftOffice2010Win64.xml,C:,MicrosoftOffice2010Win64.xml,.xml,source_or_document,misc,target_related_content,content,,content_match_target_pattern,,,,,72785,2024-04-01T07:22:45.997466+00:00,2024-04-01T08:03:49.756274+00:00,06ce8cb39081cd09df95911494f46ae85b27e37e4f83aa9c80b887bf69e87e22,72785,true,true,ProgramData installed/system/vendor artifacts
C:\ProgramData\Microsoft\UEV\InboxTemplates\MicrosoftSkypeForBusiness2016Win32.xml,C:,MicrosoftSkypeForBusiness2016Win32.xml,.xml,source_or_document,misc,target_related_content,content,,content_match_target_pattern,,,,,2891,2024-04-01T07:22:48.622494+00:00,2024-04-01T07:22:48.638102+00:00,f0da16198da1b68ab87d913b5def804cd36f4da16df22a7cba52f4f12fe7475d,2891,true,true,ProgramData installed/system/vendor artifacts
C:\ProgramData\Microsoft\UEV\InboxTemplates\MicrosoftSkypeForBusiness2016Win64.xml,C:,MicrosoftSkypeForBusiness2016Win64.xml,.xml,source_or_document,misc,target_related_content,content,,content_match_target_pattern,,,,,2891,2024-04-01T07:22:48.903725+00:00,2024-04-01T07:22:48.903725+00:00,40ad82a3af39ac5ecca299f7d0c57a8de41c75c96e2c0fa49c0dcb5b442f14cf,2891,true,true,ProgramData installed/system/vendor artifacts
C:\ProgramData\Microsoft\VisualStudio\Packages\_Channels\0a667e99\catalog.json,C:,catalog.json,.json,data_or_config,misc,log,content,,content_match_target_pattern,,log,,,17974869,2025-09-11T20:05:38.268836+00:00,2025-09-11T19:48:51.812691+00:00,f6bfef349617ffc9fc62a2af883a8e2658972942183df193ccc7692d262e00e0,17974869,true,true,ProgramData installed/system/vendor artifacts
C:\ProgramData\Microsoft\VisualStudio\Packages\_Channels\0a667e99\channelManifest.json,C:,channelManifest.json,.json,data_or_config,misc,target_related_content,content,,content_match_target_pattern,,,,,91764,2025-09-11T20:05:38.268536+00:00,2025-09-11T19:48:51.292001+00:00,921d299651af676ad0c1c5c099596f3181e17309b921e086a4fc7d35e35d3817,91764,true,true,ProgramData installed/system/vendor artifacts
C:\ProgramData\Microsoft\VisualStudio\Packages\_Instances\984cd16e\catalog.json,C:,catalog.json,.json,data_or_config,misc,log,content,,content_match_target_pattern,,log,,,17974869,2025-09-11T19:50:07.793692+00:00,2025-09-11T19:48:51.812691+00:00,f6bfef349617ffc9fc62a2af883a8e2658972942183df193ccc7692d262e00e0,17974869,true,true,ProgramData installed/system/vendor artifacts
