CopiedPath,OriginalPath,ParseError,FallbackFunctions
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\88456f06cd4c__financial_decoy_agent.py,F:\DESKTOP PYTHON 6_17_25\Cortex Quantum Dominion Security Doctrine Prototype\financial_decoy_agent.py,"f-string: invalid syntax (<unknown>, line 118)",10
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\186177fcadd7__secure_communications_agent.py,F:\DESKTOP PYTHON 6_17_25\Cortex Quantum Dominion Security Doctrine Prototype\secure_communications_agent.py,"'(' was never closed (<unknown>, line 278)",18
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\00fb832b2c72__state of the system.py,F:\DESKTOP PYTHON 6_17_25\Cortex Quantum Dominion Security Doctrine Prototype\state of the system.py,"unterminated string literal (detected at line 1) (<unknown>, line 1)",0
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\57355cd5040d__cascade_engine.py,F:\DESKTOP PYTHON 6_17_25\Your\Desired\Path\CortexOS_Build\app\engine\cascade_engine.py,"unexpected character after line continuation character (<unknown>, line 1)",3
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\ba870113198f__test_engine_and_state.py,F:\DESKTOP PYTHON 6_17_25\Your\Desired\Path\CortexOS_Build\tests\test_engine_and_state.py,"unexpected character after line continuation character (<unknown>, line 4)",4
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\aada9eb733c9__execution_monitor.py,F:\From removable drive\CORTEXOS_6_1_2025 full code\core_modules\execution_monitor.py,"invalid syntax. Perhaps you forgot a comma? (<unknown>, line 407)",13
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\571c0fd27d47__symbolic_translator.py,F:\From removable drive\CORTEXOS_6_1_2025 full code\core_modules\symbolic_translator.py,"invalid syntax. Perhaps you forgot a comma? (<unknown>, line 421)",12
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\5d842ab5b645__neuroengine.py,F:\From removable drive\CORTEXOS_6_1_2025 full code\phase1\neuroengine.py,"invalid syntax. Perhaps you forgot a comma? (<unknown>, line 438)",13
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\192318f9e39f__neuromodulation_purified.py,F:\From removable drive\CORTEXOS_6_1_2025 full code\phase6\neuromodulation_purified.py,"unexpected indent (<unknown>, line 405)",13
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\267e52c92f51__execution_monitor.py,F:\From removable drive\cortexos_organized\core_modules\execution_monitor.py,"invalid syntax. Perhaps you forgot a comma? (<unknown>, line 407)",13
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\bf2a7aa7e42f__symbolic_translator.py,F:\From removable drive\cortexos_organized\core_modules\symbolic_translator.py,"invalid syntax. Perhaps you forgot a comma? (<unknown>, line 421)",12
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\b50a1dd28477__Cortex_Profanity_Filter_GUI_Enhanced.py,F:\From removable drive\Json Melding training data\Cortex_Profanity_Filter_GUI_Enhanced.py,"unexpected indent (<unknown>, line 184)",8
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\2a7acf01ee51__CORTEX_ORCHESTRATOR_V3.py,F:\New folder\CORTEX_ORCHESTRATOR_V3.py,"invalid character '—' (U+2014) (<unknown>, line 1)",3
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\cortexos\c2a11e8b6564__cortex_vectorizer.py,F:\New folder\cortex_vectorizer.py,"unterminated triple-quoted string literal (detected at line 149) (<unknown>, line 107)",3
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\misc\763e6febdf47__knowledge_acquisition_integration.py,F:\DESKTOP PYTHON 6_17_25\MANUS CHATS-backup\MAN 15\Kali Ka Cont (No title provided for the link content)\Kali Ka\knowledge_acquisition_integration.py,"invalid syntax. Perhaps you forgot a comma? (<unknown>, line 371)",7
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\misc\eb67d5382790__OutrageousNLP System.py,F:\From removable drive\Desktop\Symbolis Mainport\OutrageousNLP System.py,"invalid syntax (<unknown>, line 73)",18
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\misc\e49f6fc3079a__agharmonic_law_orchestrator.py,F:\New folder\agharmonic_law_orchestrator.py,"unterminated triple-quoted string literal (detected at line 55) (<unknown>, line 4)",9
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\misc\fc59cde939f7__cognitive_authenticator.py,F:\New folder\cognitive_authenticator.py,"unexpected indent (<unknown>, line 3)",7
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\misc\f8ac27a4e40b__data_ingestor.py,F:\New folder\data_ingestor.py,"unterminated string literal (detected at line 95) (<unknown>, line 95)",5
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\misc\81fe6e5ed04a__eomm_compositor.py,F:\New folder\eomm_compositor.py,"invalid character '╔' (U+2554) (<unknown>, line 1)",2
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\misc\59693e5aa23c__frame_to_grid.py,F:\New folder\frame_to_grid.py,"invalid character '╔' (U+2554) (<unknown>, line 1)",0
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\misc\98b98e4d6c9f__gaming_sensor.py,F:\New folder\gaming_sensor.py,"invalid character '→' (U+2192) (<unknown>, line 4)",2
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\misc\c1f7e18d0179__mirror_reflector.py,F:\New folder\mirror_reflector.py,"unterminated triple-quoted string literal (detected at line 149) (<unknown>, line 147)",3
C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\misc\8c550439457e__symbolic_translator.py,F:\New folder\symbolic_translator.py,"unterminated triple-quoted string literal (detected at line 199) (<unknown>, line 190)",9
