"Source","Imported","Bytes","Status"
"Lee's S25+\Internal storage\Download\Advanced Swarm Intelligence Algorithm.txt","I:\TrueMem_System_Only\research_development\reasoning_toolbox\whole_pc_selected_references\phone_download_mtp\Advanced Swarm Intelligence Algorithm.txt","13917","copied via Shell.Application MTP CopyHere"
"Lee's S25+\Internal storage\Download\Cascadian_EMP_Resonance_Addendum.pdf","I:\TrueMem_System_Only\research_development\reasoning_toolbox\whole_pc_selected_references\phone_download_mtp\Cascadian_EMP_Resonance_Addendum.pdf","4049","copied via Shell.Application MTP CopyHere"
"Lee's S25+\Internal storage\Download\CortexOS_TemporalCognition_v2.0.zip","I:\TrueMem_System_Only\research_development\reasoning_toolbox\whole_pc_selected_references\phone_download_mtp\CortexOS_TemporalCognition_v2.0.zip","6143","copied via Shell.Application MTP CopyHere"
"Lee's S25+\Internal storage\Download\reaper_launcher.py","I:\TrueMem_System_Only\research_development\reasoning_toolbox\whole_pc_selected_references\phone_download_mtp\reaper_launcher.py","11979","copied via Shell.Application MTP CopyHere"
"Lee's S25+\Internal storage\Download\resonance_field.py","I:\TrueMem_System_Only\research_development\reasoning_toolbox\whole_pc_selected_references\phone_download_mtp\resonance_field.py","1299","copied via Shell.Application MTP CopyHere"
"Lee's S25+\Internal storage\Download\resonance_monitor.py","I:\TrueMem_System_Only\research_development\reasoning_toolbox\whole_pc_selected_references\phone_download_mtp\resonance_monitor.py","461","copied via Shell.Application MTP CopyHere"
"Lee's S25+\Internal storage\Download\swarm_resonance_1_redacted.py","I:\TrueMem_System_Only\research_development\reasoning_toolbox\whole_pc_selected_references\phone_download_mtp\swarm_resonance_1_redacted.py","21490","copied via Shell.Application MTP CopyHere"
"Lee's S25+\Internal storage\Download\swarm_resonance_1.py","I:\TrueMem_System_Only\research_development\reasoning_toolbox\whole_pc_selected_references\phone_download_mtp\swarm_resonance_1.py","21852","copied via Shell.Application MTP CopyHere"
"Lee's S25+\Internal storage\Download\swarm_resonance.py","I:\TrueMem_System_Only\research_development\reasoning_toolbox\whole_pc_selected_references\phone_download_mtp\swarm_resonance.py","21852","copied via Shell.Application MTP CopyHere"
"Lee's S25+\Internal storage\Download\test_topk_resonance.py","I:\TrueMem_System_Only\research_development\reasoning_toolbox\whole_pc_selected_references\phone_download_mtp\test_topk_resonance.py","1470","copied via Shell.Application MTP CopyHere"
