Family,OriginalPath,CopiedPath,OutputPath,Name,QualifiedName,Kind,StartLine,EndLine,Lines,ParserMode
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,__init__,CatalogLoader.__init__,method,106,114,9,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,load,CatalogLoader.load,method,116,133,18,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,_row_to_operator,CatalogLoader._row_to_operator,method,135,185,51,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,get,CatalogLoader.get,method,187,189,3,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,find_by_name,CatalogLoader.find_by_name,method,191,194,4,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,get_safe_operators,CatalogLoader.get_safe_operators,method,196,199,4,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,get_tools,CatalogLoader.get_tools,method,201,203,3,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,get_agents,CatalogLoader.get_agents,method,205,207,3,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,get_engines,CatalogLoader.get_engines,method,209,211,3,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,stats,CatalogLoader.stats,method,213,227,15,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,can_execute,SafetyGate.can_execute,method,243,251,9,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,can_chain,SafetyGate.can_chain,method,253,277,25,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,approve_execution,SafetyGate.approve_execution,method,279,292,14,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,__init__,AgentRegistry.__init__,method,307,310,4,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,initialize,AgentRegistry.initialize,method,312,336,25,ast
agent,E:\TrueCore-Agent-Library-main\TrueCore-Agent-Library-main\agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Engines_20260515_172849\files\agent\72110ab38ce4__agent_registry_bridge.py,C:\Users\mydyi\OneDrive\Documents\Desktop\Python_Reasoning_Functions_20260515_173222\functions_by_source\agent\72110ab38ce4__72110ab38ce4__agent_registry_bridge.functions.py,_register,AgentRegistry._register,method,338,369,32,ast
